ticker,n_windows,expected_days,actual_days,coverage_pct,on_disk
CFN,1,1296,0,0.0,False
NAVIV,1,3021,1,0.03,True
RX,1,4096,53,1.29,True
SUN,1,684,16,2.34,True
SNDK,2,1688,99,5.86,True
PTV,1,283,41,14.49,True
HOT,1,1683,383,22.76,True
TLAB,1,4096,973,23.75,True
Q,3,476,116,24.37,True
DELL,2,1380,398,28.84,True
NVDA,1,4096,1244,30.37,True
IR,1,2264,706,31.18,True
BMC,1,916,311,33.95,True
DYN,1,4096,1407,34.35,True
AGL,1,3620,1263,34.89,True
RSH,1,487,180,36.96,True
SCG,1,2254,872,38.69,True
MHP,1,833,367,44.06,True
DOW,2,3697,1775,48.01,True
PBG,1,4096,1995,48.71,True
BA,1,4096,1999,48.8,True
DIS,1,4096,1999,48.8,True
GM,1,3246,1653,50.92,True
GE,1,4096,2250,54.93,True
FOXA,1,3225,1791,55.53,True
HAR,1,1799,1047,58.2,True
AAPL,1,4096,2502,61.08,True
CEG,2,1617,1057,65.37,True
FOX,1,2667,1790,67.12,True
COL,1,2231,1562,70.01,True
AVGO,1,3015,2178,72.24,True
COST,1,4096,3007,73.41,True
LLY,1,4096,3007,73.41,True
UA,1,2052,1573,76.66,True
NWSA,1,4096,3232,78.91,True
ORCL,1,4096,3258,79.54,True
INTC,1,4096,3258,79.54,True
WMT,1,4096,3258,79.54,True
RTX,1,6,5,83.33,True
UNH,1,4096,3508,85.64,True
NKE,1,4096,3508,85.64,True
AIG,1,4096,3508,85.64,True
GS,1,4096,3508,85.64,True
SII,1,179,161,89.94,True
ABBV,3,3354,3021,90.07,True
PNC,1,4096,3760,91.8,True
BAC,1,4096,3760,91.8,True
HD,1,4096,3760,91.8,True
SLB,1,4096,3760,91.8,True
IBM,1,4096,3760,91.8,True
MS,1,4096,3760,91.8,True
SBUX,1,4096,3760,91.8,True
C,1,4096,3760,91.8,True
CSCO,1,4096,3760,91.8,True
JNJ,1,4096,3760,91.8,True
CVS,1,4096,3760,91.8,True
EOG,1,4096,3760,91.8,True
AMGN,1,4096,3760,91.8,True
COP,1,4096,3760,91.8,True
JPM,1,4096,3760,91.8,True
GILD,1,4096,3760,91.8,True
WFC,1,4096,3760,91.8,True
MRK,1,4096,3760,91.8,True
FO,1,461,428,92.84,True
BLK,1,3426,3203,93.49,True
GR,1,635,613,96.54,True
CVG,1,4096,4006,97.8,True
ARES,1,92,90,97.83,True
TGT,1,4096,4010,97.9,True
PFE,1,4096,4010,97.9,True
F,1,4096,4010,97.9,True
CVX,1,4096,4010,97.9,True
USB,1,4096,4010,97.9,True
BMY,1,4096,4010,97.9,True
FIX,1,79,78,98.73,True
CRH,1,79,78,98.73,True
CVNA,1,79,78,98.73,True
LII,1,337,333,98.81,True
TPL,1,357,353,98.88,True
ERIE,1,402,398,99.0,True
PLTR,1,402,398,99.0,True
APO,1,335,332,99.1,True
WDAY,1,335,332,99.1,True
VNT,1,113,112,99.12,True
BLDR,1,594,589,99.16,True
UBER,1,594,589,99.16,True
STLD,1,842,835,99.17,True
CPAY,1,524,520,99.24,True
GEN,1,872,866,99.31,True
ACGL,1,878,872,99.32,True
PANW,1,731,726,99.32,True
TRGP,1,890,884,99.33,True
RVTY,1,742,737,99.33,True
SW,1,451,448,99.33,True
CRWD,1,464,461,99.35,True
GDDY,1,464,461,99.35,True
KKR,1,464,461,99.35,True
HUBB,1,636,632,99.37,True
LULU,1,636,632,99.37,True
HOOD,1,161,160,99.38,True
VLTO,1,644,640,99.38,True
EME,1,161,160,99.38,True
ABNB,1,650,646,99.38,True
BX,1,650,646,99.38,True
VST,1,495,492,99.39,True
BALL,1,997,991,99.4,True
COR,1,666,662,99.4,True
KVUE,1,670,666,99.4,True
CPT,1,1022,1016,99.41,True
GEV,1,520,517,99.42,True
MEE,1,346,344,99.42,True
DECK,1,531,528,99.44,True
SMCI,1,531,528,99.44,True
URI,1,177,176,99.44,True
EPAM,1,1099,1093,99.45,True
WPI,1,758,754,99.47,True
AXON,1,751,747,99.47,True
TECH,1,1174,1168,99.49,True
VTRS,1,1369,1362,99.49,True
VICI,1,978,973,99.49,True
FICO,1,782,778,99.49,True
PODD,1,785,781,99.49,True
WBD,1,1018,1013,99.51,True
GEHC,1,833,829,99.52,True
NDSN,1,1056,1051,99.53,True
WTW,1,1071,1066,99.53,True
FDS,1,1091,1086,99.54,True
CTRA,1,1148,1143,99.56,True
J,1,1601,1594,99.56,True
INVH,1,907,903,99.56,True
CSGP,1,907,903,99.56,True
BKR,1,1639,1632,99.57,True
EG,1,702,699,99.57,True
BRO,1,1157,1152,99.57,True
JKHY,1,1875,1867,99.57,True
FANG,1,1865,1857,99.57,True
POOL,1,1396,1390,99.57,True
ELV,1,946,942,99.58,True
ON,1,969,965,99.59,True
KDP,1,969,965,99.59,True
CRL,1,1244,1239,99.6,True
PTC,1,1263,1258,99.6,True
MOH,1,1023,1019,99.61,True
IQV,1,2128,2120,99.62,True
LW,1,1842,1835,99.62,True
SOLV,1,521,519,99.62,True
APTV,1,2111,2103,99.62,True
KEYS,1,1882,1875,99.63,True
FTNT,1,1900,1893,99.63,True
DOC,1,540,538,99.63,True
WRB,1,1608,1602,99.63,True
NOW,1,1621,1615,99.63,True
SBAC,1,2180,2172,99.63,True
TFC,1,1606,1600,99.63,True
DASH,1,274,273,99.64,True
NVR,1,1658,1652,99.64,True
TKO,1,274,273,99.64,True
ANET,1,1930,1923,99.64,True
WSM,1,274,273,99.64,True
GL,1,1663,1657,99.64,True
LVS,1,1648,1642,99.64,True
EXE,1,274,273,99.64,True
MTCH,1,1134,1130,99.65,True
MAA,1,2367,2359,99.66,True
WST,1,1492,1487,99.66,True
TYL,1,1452,1447,99.66,True
TDY,1,1452,1447,99.66,True
TPR,1,2138,2131,99.67,True
MRNA,1,1200,1196,99.67,True
HWM,1,1528,1523,99.67,True
NCLH,1,2148,2141,99.67,True
DPZ,1,1499,1494,99.67,True
CDNS,1,2169,2162,99.68,True
STE,1,1592,1587,99.69,True
MPWR,1,1306,1302,99.69,True
ROL,1,1907,1901,99.69,True
ZBRA,1,1592,1587,99.69,True
LYV,1,1592,1587,99.69,True
GNRC,1,1283,1279,99.69,True
NXPI,1,1283,1279,99.69,True
CPRT,1,1968,1962,99.7,True
CDW,1,1659,1654,99.7,True
SYF,1,2631,2623,99.7,True
FSLR,2,2647,2639,99.7,True
IEX,1,1690,1685,99.7,True
NWS,1,2667,2659,99.7,True
TRMB,1,1323,1319,99.7,True
LDOS,1,1690,1685,99.7,True
LHX,1,1719,1714,99.71,True
MNST,1,3483,3473,99.71,True
BKNG,1,2054,2048,99.71,True
MTD,1,2425,2418,99.71,True
HII,1,2090,2084,99.71,True
TMUS,1,1710,1705,99.71,True
CBRE,1,2040,2034,99.71,True
CHTR,1,2425,2418,99.71,True
WELL,1,2054,2048,99.71,True
GPN,1,2522,2515,99.72,True
ALB,1,2474,2467,99.72,True
MPC,1,3609,3599,99.72,True
LNT,1,2474,2467,99.72,True
RCL,1,2871,2863,99.72,True
AJG,1,2498,2491,99.72,True
WAB,1,1797,1792,99.72,True
ATO,1,1812,1807,99.72,True
UHS,1,2918,2910,99.73,True
TEL,1,3659,3649,99.73,True
ALGN,1,2231,2225,99.73,True
HLT,1,2231,2225,99.73,True
GRMN,1,3368,3359,99.73,True
HPE,1,2640,2633,99.73,True
XYL,1,3646,3636,99.73,True
MOS,1,3659,3649,99.73,True
CZR,1,1123,1120,99.73,True
TT,1,1548,1544,99.74,True
VRSK,1,2658,2651,99.74,True
ENPH,1,1172,1169,99.74,True
RJF,1,2294,2288,99.74,True
UAL,1,2682,2675,99.74,True
SNPS,1,2297,2291,99.74,True
PNR,1,3417,3408,99.74,True
ARE,1,2294,2288,99.74,True
REG,1,2306,2300,99.74,True
EW,1,3793,3783,99.74,True
OTIS,1,1521,1517,99.74,True
IT,1,2279,2273,99.74,True
ALLE,1,3125,3117,99.74,True
LYB,1,3436,3427,99.74,True
PAYC,1,1549,1545,99.74,True
LRCX,1,3499,3490,99.74,True
MDLZ,1,3417,3408,99.74,True
RIG,1,3119,3111,99.74,True
IDXX,1,2344,2338,99.74,True
JBHT,1,2727,2720,99.74,True
STX,1,3480,3471,99.74,True
CARR,1,1521,1517,99.74,True
PYPL,1,2716,2709,99.74,True
ACN,2,3634,3625,99.75,True
CCI,1,3541,3532,99.75,True
VRTX,1,3144,3136,99.75,True
MSCI,1,2032,2027,99.75,True
COO,1,2413,2407,99.75,True
BBWI,1,791,789,99.75,True
PCG,2,3165,3157,99.75,True
BR,1,1979,1974,99.75,True
CE,2,1575,1571,99.75,True
ZTS,1,3193,3185,99.75,True
AME,1,3144,3136,99.75,True
EQIX,1,2798,2791,99.75,True
TDG,1,2493,2487,99.76,True
SPGI,1,2515,2509,99.76,True
DLR,1,2505,2499,99.76,True
DG,1,3374,3366,99.76,True
HOLX,1,2526,2520,99.76,True
CMG,1,3761,3752,99.76,True
TWX,1,2118,2113,99.76,True
TTWO,1,2042,2037,99.76,True
ILMN,1,2166,2161,99.77,True
CHD,1,2602,2596,99.77,True
KHC,1,442,441,99.77,True
FRT,1,2580,2574,99.77,True
KMI,1,3505,3497,99.77,True
TSCO,1,3082,3075,99.77,True
ESS,1,3041,3034,99.77,True
CFG,1,2580,2574,99.77,True
EXR,1,2588,2582,99.77,True
AWK,1,2557,2551,99.77,True
CTVA,1,1737,1733,99.77,True
UDR,1,2556,2550,99.77,True
INCY,1,2307,2302,99.78,True
DAL,1,3181,3174,99.78,True
JBL,2,1799,1795,99.78,True
CIEN,2,4150,4141,99.78,True
ZBH,1,2728,2722,99.78,True
LKQ,1,2417,2412,99.79,True
EVHC,1,466,465,99.79,True
HSIC,1,2800,2794,99.79,True
TER,2,2387,2382,99.79,True
REGN,1,3272,3265,99.79,True
ES,1,2817,2811,99.79,True
SWKS,1,2804,2798,99.79,True
FOSL,1,944,942,99.79,True
YUM,1,4096,4088,99.8,True
IVZ,1,4096,4088,99.8,True
AMAT,1,4096,4088,99.8,True
FITB,1,4096,4088,99.8,True
NOC,1,4096,4088,99.8,True
KR,1,4096,4088,99.8,True
QCOM,1,4096,4088,99.8,True
TXT,1,4096,4088,99.8,True
MCHP,1,4096,4088,99.8,True
SYY,1,4096,4088,99.8,True
PGR,1,4096,4088,99.8,True
MTB,1,4096,4088,99.8,True
ADP,1,4096,4088,99.8,True
TAP,1,4096,4088,99.8,True
ICE,1,4096,4088,99.8,True
AEE,1,4096,4088,99.8,True
MDT,1,4096,4088,99.8,True
ETR,1,4096,4088,99.8,True
DHR,1,4096,4088,99.8,True
HBAN,1,4096,4088,99.8,True
FE,1,4096,4088,99.8,True
NI,1,4096,4088,99.8,True
IP,1,4096,4088,99.8,True
PPL,1,4096,4088,99.8,True
ADM,1,4096,4088,99.8,True
PWR,1,4096,4088,99.8,True
PSA,1,4096,4088,99.8,True
KMB,1,4096,4088,99.8,True
NDAQ,1,4096,4088,99.8,True
CAG,1,4096,4088,99.8,True
LUV,1,4096,4088,99.8,True
EIX,1,4096,4088,99.8,True
PEP,1,4096,4088,99.8,True
GWW,1,4096,4088,99.8,True
FTV,1,2471,2466,99.8,True
CTSH,1,4096,4088,99.8,True
ULTA,1,2525,2520,99.8,True
CAT,1,4096,4088,99.8,True
CMI,1,4096,4088,99.8,True
AON,1,4096,4088,99.8,True
AMP,1,4096,4088,99.8,True
DHI,1,4096,4088,99.8,True
XEL,1,4096,4088,99.8,True
PHM,1,4096,4088,99.8,True
ETN,1,4096,4088,99.8,True
PCAR,1,4096,4088,99.8,True
MAS,1,4096,4088,99.8,True
CNP,1,4096,4088,99.8,True
SYK,1,4096,4088,99.8,True
AXP,1,4096,4088,99.8,True
AMT,1,4096,4088,99.8,True
COF,1,4096,4088,99.8,True
AVB,1,4096,4088,99.8,True
AKAM,1,4096,4088,99.8,True
EXC,1,4096,4088,99.8,True
AMZN,1,4096,4088,99.8,True
ED,1,4096,4088,99.8,True
WYNN,1,4096,4088,99.8,True
BSX,1,4096,4088,99.8,True
WM,1,4096,4088,99.8,True
AES,1,4096,4088,99.8,True
IRM,1,4096,4088,99.8,True
EMR,1,4096,4088,99.8,True
CINF,1,4096,4088,99.8,True
FIS,1,4096,4088,99.8,True
PLD,1,4096,4088,99.8,True
DVN,1,4096,4088,99.8,True
DOV,1,4096,4088,99.8,True
WMB,1,4096,4088,99.8,True
STZ,1,4096,4088,99.8,True
ROK,1,4096,4088,99.8,True
TSN,1,4096,4088,99.8,True
